time_step,serving_sat,snr,elevation,distance,handover
0,STARLINK-11553 [DTC],35.82234962948349,64.78158113381745,388.7540976650142,0
1,STARLINK-1347,37.64148530306876,86.69942133870502,482.08031407563817,1
2,STARLINK-34283,36.50765961739317,51.71627810972409,592.6081030524755,1
3,STARLINK-11553 [DTC],36.27305696216424,67.36734362532022,381.5275760433765,1
4,STARLINK-1347,35.409266964673655,86.99481915105044,481.96988470993955,1
5,STARLINK-11553 [DTC],34.995751521938246,69.06557981776469,377.30908525422257,1
6,STARLINK-11553 [DTC],35.34748234686276,69.89841244571129,375.38583711921376,0
7,STARLINK-1347,36.224738098202394,85.4410910107159,482.79052281275364,1
8,STARLINK-11553 [DTC],36.27850859905603,71.51265736736896,371.9209650555666,1
9,STARLINK-1347,37.855336264605306,83.99137926281341,483.8527483370006,1
10,STARLINK-11553 [DTC],36.97111045623176,73.02646388799057,368.97666504308194,1
11,STARLINK-11351 [DTC],35.76376519242597,41.31817924495333,527.6713454225995,1
12,STARLINK-11553 [DTC],37.84377614369048,74.39197991207531,366.56549504765593,1
13,STARLINK-30254,34.89195844525439,44.43753430974362,665.2574506855219,1
14,STARLINK-11553 [DTC],36.90943783451764,75.54981605749866,364.69804068307195,1
15,STARLINK-11553 [DTC],35.31578151568508,76.02970662262638,363.97092016307437,0
16,STARLINK-11553 [DTC],38.414675422943716,76.43185989143156,363.3826932153884,0
17,STARLINK-11553 [DTC],36.57952451803045,76.74795867403839,362.934035827285,0
18,STARLINK-11351 [DTC],35.56377471193243,40.124316968512005,539.1266286690915,1
19,STARLINK-11553 [DTC],33.96904345472936,77.09477750139966,362.45734340544794,1
20,STARLINK-11553 [DTC],36.65492426269592,77.11676034225462,362.4298620573456,0
21,STARLINK-11553 [DTC],37.40894363825541,77.0361360481281,362.54305443753464,0
22,STARLINK-11351 [DTC],37.425676201674634,39.28003057886855,547.6415332530506,1
23,STARLINK-34283,35.37746550448598,59.373882280929045,545.4923100243205,1
24,STARLINK-11553 [DTC],36.45490256593501,76.2117937649048,363.7245417063567,1
25,STARLINK-11553 [DTC],37.40846228906228,75.76416893631306,364.39748921939406,0
26,STARLINK-11553 [DTC],34.722110479279294,75.24384864217632,365.2088421819745,0
27,STARLINK-1347,34.74887965181945,69.61253789079086,511.19084068987917,1
28,STARLINK-11553 [DTC],34.55691091204331,74.02022549434342,367.2429343424012,1
29,STARLINK-11553 [DTC],36.88399008867182,73.33359143297578,368.46339994933606,0
30,STARLINK-11553 [DTC],36.10660465932992,72.60716476599374,369.81773614628753,0
31,STARLINK-11553 [DTC],34.57249352498826,71.84760199613349,371.3044763748169,0
32,STARLINK-11553 [DTC],34.59624568856876,71.06081736473011,372.922035223726,0
33,STARLINK-30757,36.093543318869926,55.07844854776786,668.2220223472931,1
34,STARLINK-11553 [DTC],36.10289099970422,69.42577372666466,376.542720733766,1
35,STARLINK-34283,35.426130668990815,61.43974823218496,535.4235646610791,1
36,STARLINK-11553 [DTC],37.28925028191033,67.73634782110645,380.6650405589359,1
37,STARLINK-31605,36.10121344899716,62.53115193638698,538.822754880349,1
38,STARLINK-11553 [DTC],37.64240191797605,66.0186128895213,385.2728730121413,1
39,STARLINK-11553 [DTC],35.44341849638045,65.1555020775432,387.7535119166575,0
40,STARLINK-31605,36.29789925979619,64.50350800253867,530.4471661165633,1
41,STARLINK-11553 [DTC],38.25651026437698,63.43077601316755,393.05706706631787,1
42,STARLINK-34283,34.91420022001938,61.38393344193655,535.6923779417419,1
43,STARLINK-11553 [DTC],35.21898118560518,61.71848531894721,398.8016348033152,1
44,STARLINK-31605,33.92280956223733,67.17259908174381,520.3862386974607,1
45,STARLINK-11553 [DTC],35.71749307876306,60.02845994398892,404.96842051086827,1
46,STARLINK-11553 [DTC],36.31258391863144,59.194184534380454,408.2042073146585,0
47,STARLINK-4501,36.48522180482631,79.59217967422846,547.6751470652226,1
48,STARLINK-1347,35.10627865012335,55.04526627237175,577.8409442260936,1
49,STARLINK-11553 [DTC],34.46570380066257,56.742849096369966,418.49259660155684,1
50,STARLINK-34283,35.83980225602156,60.16341522047247,541.556101021015,1
51,STARLINK-11553 [DTC],34.9448085972617,55.15673983121866,425.81211022766547,1
52,STARLINK-11553 [DTC],35.5462001740429,54.37927459074617,429.6030566135069,0
53,STARLINK-31182,34.41184332506936,54.01009840991087,585.7176245593355,1
54,STARLINK-11553 [DTC],35.39922287326843,52.85681742222614,437.4359368600681,1
55,STARLINK-31182,34.774133198115486,55.20835722457293,577.939295997057,1
56,STARLINK-11553 [DTC],35.050957225434786,51.378797645244205,445.58865085591754,1
57,STARLINK-34283,34.698094039280925,58.25928068727265,551.4060990738215,1
58,STARLINK-11553 [DTC],36.14805873023905,49.94600733577966,454.0439317915884,1
59,STARLINK-31605,34.14167006753309,76.65059532898742,495.0645800341356,1
60,STARLINK-4501,36.417847383136426,72.26001478188827,564.0677729777871,1
61,STARLINK-31605,36.41938712041625,77.6333090808107,493.27779671487036,1
62,STARLINK-11553 [DTC],35.48176055834641,47.21670682063134,471.79638889257325,1
63,STARLINK-34283,36.76927257070812,56.18623054649965,563.176061374033,1
64,STARLINK-11553 [DTC],36.026186065600974,45.91951580064138,481.06241499011924,1
65,STARLINK-31605,34.23057804330775,79.10205875082372,490.88149332404447,1
66,STARLINK-3723,32.867678520945745,44.859349049652735,737.0380788416734,1
67,STARLINK-11553 [DTC],35.969944693560336,44.0559928557763,495.4077153644421,1
68,STARLINK-31182,36.571376935430685,63.72833758310319,533.5823931175114,1
69,STARLINK-34283,35.47231285288409,53.85614050197869,577.8206641415328,1
70,STARLINK-31605,34.99305598812531,79.62210084888386,490.11953771196676,1
71,STARLINK-31182,35.32001190196621,65.86915121668792,525.0512830486592,1
72,STARLINK-34283,34.55275201077754,52.633067191589454,586.1550620144147,1
73,STARLINK-4501,32.90368709023801,64.12183121487884,594.1029157929669,1
74,STARLINK-4501,34.5895812413307,63.51224883627801,596.9253691202598,0
75,STARLINK-31605,34.54551570359506,78.50513491483147,491.8481519665557,1
76,STARLINK-31182,35.84159373344718,69.56728271299583,512.4281003780276,1
77,STARLINK-1347,34.10138954283235,40.298732665495066,711.6024984748091,1
78,STARLINK-11553 [DTC],34.709370615134496,38.0092018921791,551.9340669204835,1
79,STARLINK-11553 [DTC],34.50295551293597,37.51583138675424,557.3365376055939,0
80,STARLINK-31605,32.78774971672155,76.17573344415256,496.041208066105,1
81,STARLINK-34283,33.53080386120985,48.874375757827906,614.8696416390397,1
82,STARLINK-3941,33.42596195166957,44.01130496204557,746.5771962525278,1
83,STARLINK-31182,33.04388901268835,74.96402022088726,498.3530875608477,1
84,STARLINK-31605,34.24589648518549,73.82233189030468,501.12959872784245,1
85,STARLINK-31605,35.76158143093029,73.19455435544758,502.6368750376444,0
86,STARLINK-31605,35.69140719811745,72.55594552054728,504.2366106749052,0
87,STARLINK-30849,34.04335492983563,58.94029354425114,642.9042348265968,1
88,STARLINK-34283,34.17523703761524,45.96967694068124,640.6787029169692,1
89,STARLINK-4506,34.80656495349192,61.862962257419,605.230695170022,1
90,STARLINK-31182,36.14564808815461,80.44697242647601,488.79701931483777,1
91,STARLINK-31605,36.956596334023686,69.26209331589149,513.590115300588,1
92,STARLINK-4506,34.48624364510343,63.61692082519496,596.6634138543538,1
93,STARLINK-31182,36.56090963527505,82.70028295449724,486.15557565467174,1
94,STARLINK-31182,34.50271775165898,83.40967591983325,485.47347953938754,0
95,STARLINK-3941,34.76499611014953,49.79916866941733,687.7936247846858,1
96,STARLINK-31182,36.89383331944407,84.70578021079051,484.40947654051644,1
97,STARLINK-31605,34.4050765979159,65.24790816824233,527.6601684802282,1
98,STARLINK-3723,34.399343687258536,53.87264847822001,654.8189574843499,1
99,STARLINK-31182,36.961746893117216,86.01891718654181,483.568444388653,1
100,STARLINK-31182,34.79481434800867,86.16188226385053,483.49019179515517,0
101,STARLINK-4506,34.50490859441505,68.97327429491176,574.8093511361387,1
102,STARLINK-31182,35.39199129384152,85.88623974259066,483.6372150188109,1
103,STARLINK-31182,35.471224772085954,85.50230075150728,483.8623988525518,0
104,STARLINK-34167,33.698315592873875,52.80578944301048,584.2591642329782,1
105,STARLINK-4506,34.11132864171218,71.32901317678105,567.0754309537064,1
106,STARLINK-31182,36.206681365866686,83.76148876369408,485.1427590342951,1
107,STARLINK-34283,33.635005645841645,38.664418475922005,723.203970091195,1
108,STARLINK-31182,34.434332888294364,82.34604272978558,486.4975271466427,1
109,STARLINK-4506,34.28421066277087,73.59323585555083,560.6344602979492,1
110,STARLINK-4501,35.00063800769592,44.87473926996033,736.5689650668696,1
111,STARLINK-31060,32.77256448528678,33.96239141857144,684.0240867043841,1
112,STARLINK-31182,36.6640831226811,79.29357298870485,490.3944027644255,1
113,STARLINK-4643,33.193618006499484,60.92467176602989,631.2314300302438,1
114,STARLINK-3941,33.734276541557854,59.82857788999866,616.1149808019735,1
115,STARLINK-34167,33.70158332751344,56.04800316069803,563.358815563454,1
116,STARLINK-31182,34.61329479033794,76.15187878387144,495.84166404597715,1
117,STARLINK-31182,35.16357370232065,75.3661187960235,497.4400676378837,0
118,STARLINK-4506,36.18600878772669,77.80177174863171,551.0902337705785,1
119,STARLINK-4506,35.85738341498045,78.13456143671357,550.4647780568719,0
